Organisation,SectorJo,RegionCODE,GovCODE,Status,Total,Budget_life,Budget_prevent,Budget_resilient,admin
ACF,CASH,1,1707,Ongoing,3720000,0,3720000,0,Irbid
AVSI,CASH,2,1710,Planned,107443,0,107443,0,Madaba
AVSI,CASH,2,1712,Completed,193315,0,193315,0,Zarqa
CARE,CASH,2,1705,Ongoing,4050000,3450000,600000,0,Amman
CARE,CASH,1,1707,Planned,4050000,3450000,600000,0,Irbid
CARE,CASH,1,1711,Completed,2700000,2300000,400000,0,Mafraq
CARE,CASH,2,1712,Ongoing,2700000,2300000,400000,0,Zarqa
CHF,CASH,3,1703,Planned,7000,7000,0,0,Aqaba
CHF,CASH,2,1704,Completed,7000,7000,0,0,Karak
CHF,CASH,3,1709,Ongoing,7000,7000,0,0,Maan
CHF,CASH,3,1706,Planned,7000,7000,0,0,Tafileh
DRC,CASH,2,1704,Completed,1000750,670000,330750,0,Karak
DRC,CASH,3,1709,Ongoing,1000750,670000,330750,0,Maan
DRC,CASH,3,1706,Planned,150000,150000,0,0,Tafileh
Intersos,CASH,1,1707,Completed,333000,0,333000,0,Irbid
IRC,CASH,1,1707,Ongoing,2200000,300000,1900000,0,Irbid
IRC,CASH,1,1711,Planned,1150000,150000,1000000,0,Mafraq
MEDAIR,CASH,1,1707,Completed,1915200,500000,1415200,0,Irbid
Mercy Corps,CASH,2,1705,Ongoing,20000,0,20000,0,Amman
Mercy Corps,CASH,1,1707,Planned,100000,0,100000,0,Irbid
Mercy Corps,CASH,1,1708,Completed,20000,0,20000,0,Jarash
Mercy Corps,CASH,1,1711,Ongoing,100000,0,100000,0,Mafraq
OXFAM,CASH,2,1702,Planned,319195,57010,262185,0,Al Balqa
OXFAM,CASH,2,1712,Completed,1663910,170250,1493660,0,Zarqa
PU-AMI,CASH,2,1705,Ongoing,940000,940000,0,0,Amman
PU-AMI,CASH,2,1712,Planned,940000,940000,0,0,Zarqa
SCI,CASH,1,1707,Completed,10000000,0,10000000,0,Irbid
TGH,CASH,2,1705,Ongoing,124000,124000,0,0,Amman
