Organisation,SectorJo,Status,RegionCODE,GovCODE,Total
ACTED,CASH,A-Life-saving,4,1,4500000
CARE,CASH,A-Life-saving,2,1705,3450000
CARE,CASH,A-Life-saving,1,1707,3450000
CARE,CASH,A-Life-saving,1,1711,2300000
CARE,CASH,A-Life-saving,2,1712,2300000
CHF,CASH,A-Life-saving,3,1703,7000
CHF,CASH,A-Life-saving,1,1704,7000
CHF,CASH,A-Life-saving,3,1709,7000
CHF,CASH,A-Life-saving,3,1706,7000
DRC,CASH,A-Life-saving,1,1704,670000
DRC,CASH,A-Life-saving,3,1709,670000
DRC,CASH,A-Life-saving,4,1,1478000
DRC,CASH,A-Life-saving,3,1706,150000
HI,CASH,A-Life-saving,4,1,700000
ICMC,CASH,A-Life-saving,4,1,375000
IRC,CASH,A-Life-saving,1,1707,300000
IRC,CASH,A-Life-saving,1,1711,150000
Intersos,CASH,A-Life-saving,4,1,318000
MEDAIR,CASH,A-Life-saving,1,1707,500000
OXFAM,CASH,A-Life-saving,2,1702,57010
OXFAM,CASH,A-Life-saving,2,1712,170250
PU-AMI,CASH,A-Life-saving,2,1705,940000
PU-AMI,CASH,A-Life-saving,2,1712,940000
TGH,CASH,A-Life-saving,2,1705,124000
TGH,CASH,A-Life-saving,1,1707,110000
ACF,CASH,B-Preventing-deterioration,1,1707,3720000
ACTED,CASH,B-Preventing-deterioration,4,1,100000
AVSI,CASH,B-Preventing-deterioration,2,1710,107443
AVSI,CASH,B-Preventing-deterioration,2,1712,193315
CARE,CASH,B-Preventing-deterioration,2,1705,600000
CARE,CASH,B-Preventing-deterioration,1,1707,600000
CARE,CASH,B-Preventing-deterioration,1,1711,400000
CARE,CASH,B-Preventing-deterioration,2,1712,400000
Caritas,CASH,B-Preventing-deterioration,4,1,635593
DRC,CASH,B-Preventing-deterioration,1,1704,330750
DRC,CASH,B-Preventing-deterioration,3,1709,330750
HI,CASH,B-Preventing-deterioration,4,1,2400000
IRC,CASH,B-Preventing-deterioration,1,1707,1900000
IRC,CASH,B-Preventing-deterioration,1,1711,1000000
Intersos,CASH,B-Preventing-deterioration,1,1707,333000
MEDAIR,CASH,B-Preventing-deterioration,1,1707,1415200
MercyCorps,CASH,B-Preventing-deterioration,2,1705,20000
MercyCorps,CASH,B-Preventing-deterioration,5,2,20000
MercyCorps,CASH,B-Preventing-deterioration,1,1707,100000
MercyCorps,CASH,B-Preventing-deterioration,1,1708,20000
MercyCorps,CASH,B-Preventing-deterioration,1,1711,100000
OXFAM,CASH,B-Preventing-deterioration,2,1702,262185
OXFAM,CASH,B-Preventing-deterioration,2,1712,1493660
SCI,CASH,B-Preventing-deterioration,1,1707,10000000
UNHCR,CASH,B-Preventing-deterioration,2,1705,566102
UNHCR,CASH,B-Preventing-deterioration,1,1707,122034
UNHCR,CASH,B-Preventing-deterioration,1,1711,122034
UNHCR,CASH,B-Preventing-deterioration,4,1,55962713
WVI,CASH,B-Preventing-deterioration,1,1707,348367
WVI,CASH,B-Preventing-deterioration,2,1712,348367
ACTED,EDUCATION,A-Life-saving,5,2,80000
AVSI,EDUCATION,A-Life-saving,1,1711,150000
AVSI,EDUCATION,A-Life-saving,2,1712,150000
CHF,EDUCATION,A-Life-saving,3,1703,250000
CHF,EDUCATION,A-Life-saving,1,1704,250000
CHF,EDUCATION,A-Life-saving,3,1709,250000
CHF,EDUCATION,A-Life-saving,3,1706,250000
Caritas,EDUCATION,A-Life-saving,2,1705,3000000
DRC,EDUCATION,A-Life-saving,2,1705,1000000
DRC,EDUCATION,A-Life-saving,3,1709,265000
FCA,EDUCATION,A-Life-saving,5,2,1000000
FCA,EDUCATION,A-Life-saving,1,1707,500000
IRD,EDUCATION,A-Life-saving,2,1705,100000
IRD,EDUCATION,A-Life-saving,1,1707,200000
IRD,EDUCATION,A-Life-saving,1,1711,100000
IRD,EDUCATION,A-Life-saving,2,1712,100000
KnK,EDUCATION,A-Life-saving,5,2,300000
MercyCorps,EDUCATION,A-Life-saving,1,1707,2000000
NRC,EDUCATION,A-Life-saving,5,2,3000000
RI,EDUCATION,A-Life-saving,1,1704,500000
RI,EDUCATION,A-Life-saving,4,1,1200000
SCJordan,EDUCATION,A-Life-saving,4,1,400000
SCI,EDUCATION,A-Life-saving,5,2,700000
TDHI,EDUCATION,A-Life-saving,3,1703,83000
TDHI,EDUCATION,A-Life-saving,3,1706,81000
TDHI,EDUCATION,A-Life-saving,2,1712,50000
Taghyeer,EDUCATION,A-Life-saving,5,2,100000
Taghyeer,EDUCATION,A-Life-saving,2,1712,100000
UNESCO,EDUCATION,A-Life-saving,5,2,391636
UNESCO,EDUCATION,A-Life-saving,1,1707,202585
UNESCO,EDUCATION,A-Life-saving,1,1711,312889
UNESCO,EDUCATION,A-Life-saving,4,1,622101
UNICEF,EDUCATION,A-Life-saving,4,1,28441320
WVI,EDUCATION,A-Life-saving,1,1707,775000
WVI,EDUCATION,A-Life-saving,2,1712,775000
WarChildUK,EDUCATION,A-Life-saving,1,1707,117500
ACTED,EDUCATION,B-Preventing-deterioration,4,1,300000
ADRA,EDUCATION,B-Preventing-deterioration,2,1705,30000
ADRA,EDUCATION,B-Preventing-deterioration,1,1707,29000
