Organisation,SectorJo,RegionCODE,GovCODE,Status
ACF,CASH,1,1707,Ongoing
AVSI,CASH,2,1710,Planned
AVSI,CASH,2,1712,Completed
CARE,CASH,2,1705,Ongoing
CARE,CASH,1,1707,Planned
CARE,CASH,1,1711,Completed
CARE,CASH,2,1712,Ongoing
CHF,CASH,3,1703,Planned
CHF,CASH,2,1704,Completed
CHF,CASH,3,1709,Ongoing
CHF,CASH,3,1706,Planned
DRC,CASH,2,1704,Completed
DRC,CASH,3,1709,Ongoing
DRC,CASH,3,1706,Planned
INTERSOS,CASH,1,1707,Completed
IRC,CASH,1,1707,Ongoing
IRC,CASH,1,1711,Planned
MEDAIR,CASH,1,1707,Completed
MERCY CORPS,CASH,2,1705,Ongoing
MERCY CORPS,CASH,1,1707,Planned
MERCY CORPS,CASH,1,1708,Completed
MERCY CORPS,CASH,1,1711,Ongoing
OXFAM,CASH,2,1702,Planned
OXFAM,CASH,2,1712,Completed
PU-AMI,CASH,2,1705,Ongoing
PU-AMI,CASH,2,1712,Planned
SCI,CASH,1,1707,Completed
TGH,CASH,2,1705,Ongoing
TGH,CASH,1,1707,Planned
UNHCR,CASH,2,1705,Completed
UNHCR,CASH,1,1707,Ongoing
UNHCR,CASH,1,1711,Planned
WVI,CASH,1,1707,Completed
WVI,CASH,2,1712,Ongoing
ADRA,EDUCATION,2,1705,Planned
ADRA,EDUCATION,1,1707,Completed
ADRA,EDUCATION,1,1711,Ongoing
AVSI,EDUCATION,1,1711,Planned
AVSI,EDUCATION,2,1712,Completed
CARITAS,EDUCATION,2,1705,Ongoing
CHF,EDUCATION,3,1703,Planned
CHF,EDUCATION,2,1704,Completed
CHF,EDUCATION,3,1709,Ongoing
CHF,EDUCATION,3,1706,Planned
DRC,EDUCATION,2,1705,Completed
DRC,EDUCATION,3,1709,Ongoing
FCA,EDUCATION,1,1707,Planned
ILO,EDUCATION,2,1705,Completed
ILO,EDUCATION,1,1707,Ongoing
ILO,EDUCATION,1,1711,Planned
IOCC,EDUCATION,1,1701,Completed
IOCC,EDUCATION,2,1705,Ongoing
IRD,EDUCATION,2,1705,Planned
IRD,EDUCATION,1,1707,Completed
IRD,EDUCATION,1,1711,Ongoing
IRD,EDUCATION,2,1712,Planned
JEN,EDUCATION,2,1705,Completed
JEN,EDUCATION,1,1707,Ongoing
JEN,EDUCATION,1,1711,Planned
JEN,EDUCATION,2,1712,Completed
JRS,EDUCATION,2,1705,Ongoing
JRS,EDUCATION,1,1707,Planned
LWF,EDUCATION,1,1711,Completed
MA,EDUCATION,1,1708,Ongoing
MA,EDUCATION,1,1711,Planned
MADRASATI,EDUCATION,2,1705,Completed
MADRASATI,EDUCATION,1,1707,Ongoing
MADRASATI,EDUCATION,2,1712,Planned
MERCY CORPS,EDUCATION,1,1707,Completed
